Category,Quantity,References,Value,Stock Code,Unit Cost
Capacitors,2,C1-C2,2.2uF,,
Capacitors,10,"C3,C5,C7,C13-C14,C20-C24",100nF,,
Capacitors,2,"C4,C8",1uF,,
Capacitors,1,C6,10uF,,
Capacitors,7,"C9-C12,C15-C16,C19",10nF,,
Capacitors,2,C17-C18,5uF,,
Capacitors,2,C25-C26,27pF,,
Resistors,19,"R1,R4,R7,R9,R11-R18,R21,R23,R25-R26,R29,R32-R33",10k,,
Resistors,6,"R2,R5-R6,R24,R27,R30",0.1,,
Resistors,1,R3,5.6k,,
Resistors,3,"R8,R10,R19",4.7k,,
Resistors,1,R22,1M,,
Resistors,1,R28,100,,
Resistors,1,R31,1k,,
Integrated Circuits,1,U1,LDK320ADU33R,,
Integrated Circuits,1,U2,LD1117S12,,
Integrated Circuits,1,U5,88SA8052,,
Diodes,1,D1,BAV70,,
Miscellaneous,1,J1,171826-4,,
Miscellaneous,1,J3,M20-9980446,,
Miscellaneous,1,L1,B82496C3100J000,,
Miscellaneous,1,LED,151031VS06000,,
Miscellaneous,1,PATA HEADER,,,
Miscellaneous,1,SATA PLUG,0877011001_INVERSED,,
Miscellaneous,1,Y2,ABLS2-25,,
